GD-Category,Wayz-Tag,标签名称
1010001,豪华高端,
1010002,品质高端（四星级）,四星级
1010003,三星级（舒适）,三星级
1010004,经济连锁, 
1010005,精品酒店,
1010006,商务酒店,
1010007,温泉酒店,温泉酒店
1010008,钟点房,
3000001,下午茶,
3000002,菜系,
3000003,branch,
3000004,早茶、早点,
3000005,自助餐,
3000006,素餐,
3000007,川菜,
3000008,粤菜,
3000009,鲁菜,
3000010,苏菜,
3000011,浙菜,
3000012,闽菜,
3000013,徽菜,
3000014,湘菜,
3000015,京菜,
3000016,鄂菜,
3000017,东北菜,
3000018,西北菜,
3000019,台湾菜,
3000020,韩国菜,
3000021,日本菜,
3000022,东南亚风味,
3000023,火锅,
3000024,网红,
3000025,烧烤,
3000026,云南菜,
3000027,新疆菜,
3000028,海鲜,
3000029,贵州菜,
3000030,面馆,
3000031,小龙虾,
3000032,江西菜,
3000033,家常菜,
3000034,融合菜,
3000035,山西菜,
3000036,创意菜,
3000037,农家菜,
3000038,私房菜,
3000039,特色菜,
6010001,ATM,
6010002,网点,
6010003,信用社,
6080001,婚纱摄影,
6080002,旅拍,
6080003,婚宴,
6080004,婚礼策划,
6080005,婚纱礼服,
6080006,西服定制,
6080007,婚戒首饰,
6080008,彩妆造型,
6080009,司仪主持,
6080010,婚礼跟拍,
6080011,婚车租赁,
6080012,婚礼小商品,
6080013,个性写真,
6080014,婚房装修,
6090001,儿童摄影,
6090002,孕妇写真,
6090003,满月照,
6090004,百天照,
6090005,上门拍,
6090006,全家福,
6090007,儿童乐园,
6090008,亲子活动,
6090009,亲子会所,
6090010,早教中心,
6090011,月子会所,
6090012,月嫂,
6090013,婴儿游泳,
6090014,幼儿才艺,
6090015,幼儿外语,
6090016,婴儿理发,
6090017,宝宝派对,
6090018,儿童医院,
6090019,产后恢复,
6090020,孕妈用品,
6090021,婴儿用品,
6090022,乐高,
6090023,托班/托儿所,
6101001,日常保洁,
6101002,深度保洁,
6101003,擦玻璃,
6101004,家电清洗,
6101005,除甲醛,
6101006,杀虫除螨,
6101007,地板打蜡,
6102001,保姆,
6102002,月嫂,
6180001,自来水营业厅,
6180002,电力营业厅,
6200001,洗衣店,
6200002,裁缝改衣,
6200003,奢侈品护理,
6200004,修鞋擦鞋,
6200005,其他洗涤护理,
6210001,送水站,
6210002,送奶站,
6220001,结婚登记照,
6220002,证件照,
6220003,形象照,
6220004,照片冲印,
6220005,自拍,
6230001,广告印刷,
6230002,复印刻章,
6230003,其他文印图文,
7011001,保龄球,
7011002,网球,
7011003,篮球,
7011004,足球,
7011005,羽毛球,
7011006,排球,
7011007,乒乓球,
7011008,门球,
7011009,棒球,
7011010,手球,
7011011,曲棍球,
7011012,垒球,
7012001,溜冰,
7012002,滑雪,
7012003,射击,
7012004,棋院,
7012005,射箭,
7013001,拳击,
7013002,柔道,
7013003,跆拳道,
7013004,击剑,
7013005,摔跤,
7013006,空手道,
7013007,武术,
7020001,瑜伽,
7020002,舞蹈,
7020003,跑步,
7080001,推拿,
7080002,SPA,
7080003,拔罐,
7080004,修脚,
7080005,刮痧,
7080006,针灸,
7080007,采耳,
7080008,按摩,
7080009,足疗,
7080010,精油,
7080011,盲人按摩,
7080012,艾灸,
7080013,香薰,
7080014,石疗,
8031001,英语,
8031002,日语,
8031003,德语,
8031004,韩语,
8031005,西班牙语,
8031006,法语,
8031007,汉语,
8031008,俄语,
8031009,意大利语,
8031010,其他外语,
8032001,热门乐器,
8032002,乐理乐声,
8032003,弦乐器,
8032004,打击乐器,
8032005,管乐器,
8032006,民族乐器,
8032007,其他音乐培训,
8033001,美容整形从业,
8033002,餐饮酒店从业,
8033003,会计,
8033004,IT/互联网,
8033005,教师从业,
8033006,公务员培训,
8033007,司法培训,
8033008,医疗护理从业,
8033009,建筑工程培训,
8033010,数控机械培训,
8033011,维修培训,
8033012,礼仪口才,
8033013,其他职业培训,
8034001,小学辅导,
8034002,初中辅导,
8034003,高中辅导,
8034004,中小学综合辅导,
8034005,艺考,
8034006,考研,
8034007,STEM创客教育,
8035001,成人学历提升,
8035002,美术培训,
8035003,书法培训,
8035004,棋牌培训,
8035005,烘焙厨艺,
8035006,茶酒咖啡培训,
8035007,花艺,
8035008,手工制作,
8035009,美妆入门,
8035010,摄影入门,
8035011,在线教育,
,,
100001,地铁沿线,
100002,交通便利,
100003,学区房,
