food,10674216,13857533
port,0,6804
station,0,582100
residential,0,1045993
park,0,131858
health,319144,326811
school,158132,158213
shop,9554120,10297748
scenic,276664,277641
tower,0,121709
auto_service,2496568,2536959
institute,0,104065
foreign_institution,0,1146
supermarket,0,400288
entertainment,373474,685745
pet,50000,152367
parking,0,753015
mall,3793823,3854479
hospital,138332,236490
hotel,798676,800910
government,0,1227351
office,0,4022885
service,659398,6234866
toll,0,22316
entity,383922,12937607
college,34393,34501
airport,418,1512
organization,0,218912
sports,127672,149140
energy_station,110710,112294
venue,12875,65170
education,4758,588643
hall,214033,1258530
service_area,0,7861
road_entrance,0,45190
theater,15801,15935
chemist,636443,639161
farm,0,82194
factory,0,235591
bank,427253,481876
market,941456,1871602
kindergarten,179594,179815
