big_type_id,big_type_name,type_id,type_name,type_id,type_name,tag_2,tag_3,tag_2index,tag_3index,Wayz-CategoryID
,,,,,,,,,,10000
60,酒店,6714,精品酒店,,,精品酒店,,,,10100
60,酒店,33838,商务酒店,,,商务酒店,,,,10100
60,酒店,174,更多酒店住宿,,,,,,,10100
60,酒店,33840,情侣酒店,,,情侣酒店,,,,10100
60,酒店,168,五星级酒店,,,五星级|商务酒店,,,,10101
60,酒店,3020,五星级/豪华型,,,五星级|商务酒店,,,,10101
60,酒店,33830,高端酒店,,,商务酒店,,,,10101
60,酒店,3025,豪华型,,,商务酒店,,,,10101
60,酒店,3022,四星级/高档型,,,四星级|商务酒店,,,,10102
60,酒店,3026,高档型,,,商务酒店,,,,10102
60,酒店,3024,三星级、舒适型,,,三星级|商务酒店,,,,10103
60,酒店,3024,三星级/舒适型,,,三星级|商务酒店,,,,10103
60,酒店,3028,舒适型,,,商务酒店,,,,10103
60,酒店,170,三星级酒店,,,三星级|商务酒店,,,,10103
60,酒店,33839,主题酒店,,,主题酒店,,,,10103
60,酒店,171,经济型,,,经济连锁,,,,10103
60,酒店,171,经济型酒店B&B,,,经济连锁,,,,10103
60,酒店,33837,快捷酒店,,,经济连锁,,,,10103
60,酒店,173,度假村,,,度假村,,,,10104
60,酒店,173,度假村/别墅,,,度假村,,,,10104
60,酒店,33842,度假酒店,,,,,,,10104
,,,,,,,,,,10105
60,酒店,172,青年旅舍,,,客栈,,,,10106
60,酒店,34019,青年公寓,,,公寓型,,,,10106
60,酒店,6693,公寓式酒店,,,公寓型,,,,10107
60,酒店,25842,客栈旅舍,,,客栈,,,,10107
60,酒店,25842,客栈民宿,,,客栈,,,,10107
60,酒店,33841,民宿,,,民宿,,,,10107
60,酒店,34020,国际公寓,,,公寓型,,,,10108
60,酒店,34022,其他公寓,,,公寓型,,,,10109
33954,榛果民宿,,,,,,,,,10107
,,,,,,,,,,10200
,,,,,,,,,,10201
,,,,,,,,,,10202
,,,,,,,,,,10203
,,,,,,,,,,20000
,,,,,,,,,,20100
,,,,,,,,,,20200
,,,,,,,,,,20201
,,,,,,,,,,20202
,,,,,,,,,,20203
,,,,,,,,,,20500
,,,,,,,,,,20600
80,生活服务,979,公司企业,,,,,,,20700
80,生活服务,33958,商务服务,34153,联合办公空间,,,,,20700
80,生活服务,33958,商务服务,34163,广告设计,,,,,20701
80,生活服务,33958,商务服务,34164,灯箱招牌,,,,,20701
80,生活服务,33958,商务服务,34165,灯光音响设备租赁,,,,,20701
80,生活服务,33958,商务服务,34171,公关策划/网络营销,,,,,20701
,,,,,,,,,,20702
,,,,,,,,,,20703
,,,,,,,,,,20704
,,,,,,,,,,20705
80,生活服务,33958,商务服务,34166,办公设备租赁,,,,,20706
80,生活服务,33958,商务服务,34167,网站建设/软件开发,,,,,20706
80,生活服务,33958,商务服务,34169,监控安装/网络布线,,,,,20706
80,生活服务,33958,商务服务,34174,托运/国际货运,,,,,20707
80,生活服务,33958,商务服务,34175,进出口报关,,,,,20707
80,生活服务,33958,商务服务,34176,航空运输,,,,,20707
,,,,,,,,,,20708
,,,,,,,,,,20709
,,,,,,,,,,20710
,,,,,,,,,,20711
80,生活服务,33958,商务服务,33963,财务服务,,,,,20712
80,生活服务,33958,商务服务,34170,贷款担保,,,,,20712
,,,,,,,,,,20800
,,,,,,,,,,20801
,,,,,,,,,,20802
,,,,,,,,,,20803
,,,,,,,,,,20804
,,,,,,,,,,20805
,,,,,,,,,,20806
,,,,,,,,,,20807
,,,,,,,,,,20808
10,美食,118,其他美食,,,,,,,30000
10,美食,,,,,,,,,30000
,,2507,更多美食,,,,,,,30000
10,美食,34032,人气餐厅,34032,人气餐厅,网红,,112312,,30100
,,157,亚洲菜,157,亚洲菜,,,,,30100
10,美食,34014,下午茶,34014,下午茶,,,,,30101
,,,天津菜,,,,,,,30101
,,,冀菜,,,,,,,30101
10,美食,34055,早茶,,,,,,,30101
10,美食,111,自助餐,,,现代,,345345,,30101
10,美食,109,素食,109,素菜,,,,,30101
10,美食,109,素食,,,,,,,30101
10,美食,118,其他美食,109,素食,,,,,30101
10,美食,102,川菜,3031,自贡盐帮菜,川菜,,32423,,30101
10,美食,102,川菜,4467,川菜家常菜,川菜,家常菜,32423,234,30101
10,美食,102,川菜,4469,干锅/香锅,川菜,,32423,,30101
10,美食,102,川菜,4473,烤鱼,川菜,,32423,,30101
10,美食,102,川菜,4481,江湖菜,川菜,,32423,,30101
10,美食,102,川菜,4583,酸菜鱼/水煮鱼,川菜,,32423,,30101
10,美食,102,川菜,34255,重庆鸡公煲,川菜,,32423,,30101
10,美食,102,川菜,,,川菜,,32423,,30101
10,美食,103,粤菜,205,粤菜馆,粤菜,,32423,,30101
10,美食,103,粤菜,206,燕翅鲍,粤菜,特色菜,32423,234,30101
10,美食,103,粤菜,207,茶餐厅,粤菜,,32423,,30101
10,美食,103,粤菜,733,客家菜,粤菜,农家菜,32423,234,30101
10,美食,103,粤菜,1947,潮汕菜,粤菜,,32423,,30101
10,美食,103,粤菜,2808,顺德菜,粤菜,,32423,,30101
10,美食,103,粤菜,2919,烧腊,粤菜,特色菜,32423,234,30101
10,美食,103,粤菜,4571,湛江菜,粤菜,农家菜,32423,234,30101
10,美食,103,粤菜,25474,农家菜,粤菜,农家菜,32423,234,30101
10,美食,103,粤菜,32728,大排档,粤菜,,32423,,30101
10,美食,103,粤菜,34282,粤式茶点,粤菜,,32423,,30101
10,美食,103,粤菜,34283,广州菜,粤菜,,32423,,30101
10,美食,103,粤菜,,,粤菜,,32423,,30101
10,美食,103,潮粤菜,,,粤菜,,32423,,30101
10,美食,103,粤菜/潮州菜,,,粤菜,,32423,,30101
10,美食,118,其他美食,26483,鲁菜,,普通人气,,,30101
10,美食,26483,鲁菜,,,,,,,30101
10,美食,101,本帮江浙菜,201,淮扬菜,江浙菜,,,,30101
10,美食,101,本帮江浙菜,1909,无锡菜,江浙菜,,,,30101
10,美食,101,本帮江浙菜,2243,苏帮菜,江浙菜,,,,30101
10,美食,101,本帮江浙菜,4581,南京/江浙菜,江浙菜,,,,30101
10,美食,101,本帮江浙菜,4581,南京菜,江浙菜,,,,30101
10,美食,101,本帮江浙菜,1797,浙菜,江浙菜,,,,30101
10,美食,101,本帮江浙菜,4303,温州菜,江浙菜,,,,30101
10,美食,101,本帮江浙菜,4305,衢州菜,江浙菜,,,,30101
10,美食,34059,福建菜,4351,福州菜,福建菜,,,,30101
10,美食,34059,福建菜,34240,闽南菜,福建菜,,,,30101
10,美食,34059,福建菜,34241,闽西菜,福建菜,,,,30101
10,美食,34059,福建菜,,,福建菜,,,,30101
,,,闽菜,,,,,,,30101
,,,客家菜,,,,,,,30101
10,美食,118,其他美食,26482,徽菜,徽菜,,,,30101
10,美食,26482,徽菜,,,徽菜,,,,30101
10,美食,104,湘菜,2765,湘菜/家常菜,湘菜,家常菜,,234,30101
10,美食,104,湘菜,,,湘菜,,,,30101
10,美食,311,北京菜,1785,烤鸭,京菜,特色菜,,234,30101
10,美食,311,北京菜,1787,官府菜,京菜,官府菜,,234,30101
10,美食,311,北京菜,34224,京菜,京菜,,,,30101
10,美食,311,北京菜,,,京菜,,,,30101
10,美食,118,其他美食,246,湖北菜,,,,,30101
10,美食,246,湖北菜,4319,湖北菜/家常菜,湖北菜,家常菜,,234,30101
10,美食,246,湖北菜,,,湖北菜,,,,30101
10,美食,106,东北菜,4597,骨头馆,东北菜,,,,30101
10,美食,106,东北菜,4601,炖菜,东北菜,,,,30101
10,美食,106,东北菜,27823,东北家常菜,东北菜,家常菜,,234,30101
10,美食,106,东北菜,,,东北菜,家常菜,123,234,30101
10,美食,26481,西北菜,1453,内蒙菜,西北菜,,,,30101
10,美食,26481,西北菜,34233,甘肃菜,西北菜,,,,30101
10,美食,26481,西北菜,34234,陕西菜,西北菜,,,,30101
10,美食,26481,西北菜,786,陕菜,西北菜,,,,30101
10,美食,26481,西北菜,,,西北菜,,,,30101
10,美食,107,台湾菜,,,台湾菜,,,,30101
10,美食,110,火锅,208,牛羊肉火锅,,,,,30101
10,美食,110,火锅,1805,羊蝎子火锅,,特色菜,,234,30101
10,美食,110,火锅,2823,泰式火锅,,特色菜,,234,30101
10,美食,110,火锅,2887,本地鸡窝,,农家菜,,234,30101
10,美食,110,火锅,2889,砂锅,,,,,30101
10,美食,110,火锅,3017,串串香,,,,,30101
10,美食,110,火锅,3023,四川火锅,,,,,30101
10,美食,110,火锅,3027,鱼火锅,,,,,30101
10,美食,110,火锅,3095,菌菇火锅,,,,,30101
10,美食,110,火锅,4273,汤锅,,,,,30101
10,美食,110,火锅,4477,小火锅,,,,,30101
