office,4022885
college,34501
park,131858
health,326811
institute,104065
kindergarten,179815
factory,235591
scenic,277641
foreign_institution,1146
road_entrance,45190
mall,3854479
hall,1258530
hospital,236490
service_area,7861
bank,481876
tower,121709
theater,15935
sports,149140
education,588643
parking,753015
school,158213
supermarket,400288
pet,152367
market,1871602
energy_station,112294
service,6234866
chemist,639161
toll,22316
government,1227351
hotel,800910
farm,82194
entertainment,685745
entity,12937607
venue,65170
organization,218912
food,13857533
shop,10297748
station,582100
residential,1045993
port,6804
auto_service,2536959
airport,1512
