NEW_TYPE,大类,中类,小类,tag,Wayz-CategoryID
100000,住宿服务,住宿服务相关,住宿服务相关,,10000
100100,住宿服务,宾馆酒店,宾馆酒店,经济连锁,10100
100101,住宿服务,宾馆酒店,奢华酒店,商务酒店,10101
100102,住宿服务,宾馆酒店,五星级宾馆,五星级|商务酒店,10101
100103,住宿服务,宾馆酒店,四星级宾馆,四星级|商务酒店,10102
100104,住宿服务,宾馆酒店,三星级宾馆,三星级|商务酒店,10103
100105,住宿服务,宾馆酒店,经济型连锁酒店,经济连锁,10103
,,,,,10104
100200,住宿服务,旅馆招待所,旅馆招待所,客栈,10105
100201,住宿服务,旅馆招待所,青年旅舍,公寓型,10106
,,,,,10107
120300,商务住宅,住宅区,住宅区,,10200
120301,商务住宅,住宅区,别墅,,10201
120302,商务住宅,住宅区,住宅小区,,10202
120303,商务住宅,住宅区,宿舍,,10203
,,,,,20000
120100,商务住宅,产业园区,产业园区,,20100
120200,商务住宅,楼宇,楼宇相关,,20200
120201,商务住宅,楼宇,商务写字楼,,20201
120203,商务住宅,楼宇,商住两用楼宇,,20202
120202,商务住宅,楼宇,工业大厦建筑物,,20203
170300,公司企业,工厂,工厂,,20500
,,,,,20600
170000,公司企业,公司企业,公司企业,,20700
170100,公司企业,知名企业,知名企业,知名企业,20700
170200,公司企业,公司,公司,,20700
170201,公司企业,公司,广告装饰,,20701
170202,公司企业,公司,建筑公司,,20702
170203,公司企业,公司,医药公司,,20703
170204,公司企业,公司,机械电子,,20704
170205,公司企业,公司,冶金化工,,20705
170206,公司企业,公司,网络科技,,20706
170207,公司企业,公司,商业贸易,,20707
170208,公司企业,公司,电信公司,知名企业,20708
170209,公司企业,公司,矿产公司,,20709
,,,,,20710
160500,金融保险服务,证券公司,证券公司,,20711
160600,金融保险服务,财务公司,财务公司,,20712
170400,公司企业,农林牧渔基地,其它农林牧渔基地,,20800
170401,公司企业,农林牧渔基地,渔场,,20801
170402,公司企业,农林牧渔基地,农场,,20802
170403,公司企业,农林牧渔基地,林场,,20803
170404,公司企业,农林牧渔基地,牧场,,20804
170405,公司企业,农林牧渔基地,家禽养殖基地,,20805
170406,公司企业,农林牧渔基地,蔬菜基地,,20806
170407,公司企业,农林牧渔基地,水果基地,,20807
170408,公司企业,农林牧渔基地,花卉苗圃基地,,20808
50000,餐饮服务,餐饮相关场所,餐饮相关,,30000
50400,餐饮服务,休闲餐饮场所,休闲餐饮场所,,30000
,,,,,30100
50100,餐饮服务,中餐厅,中餐厅,,30101
50101,餐饮服务,中餐厅,综合酒楼,特色菜,30101
