"name","tag_ids","tag_names"
"西安咸阳国际机场益田城市候机楼","{5010003}","{综合机场}"
"福州竹岐直升机场","{5010006}","{直升机场}"
"扎兰屯成吉思汗机场","{5010003}","{综合机场}"
"北京南苑机场候机楼","{5010003}","{综合机场}"
"南京航空航天大学将军路校区直升机停机坪","{5010006}","{直升机场}"
"巴中恩阳机场","{5010003}","{综合机场}"
"常德桃花源机场","{5010003}","{综合机场}"
"保山云瑞机场","{5010003}","{综合机场}"
"延吉朝阳川机场航站楼","{5010003}","{综合机场}"
"中卫沙坡头机场","{5010003}","{综合机场}"
