web_url,count,name,type,,
1,22488,上海,服饰鞋包,,
2,24211,北京,服饰鞋包,,
3,17469,杭州,服饰鞋包,,
4,23352,广州,服饰鞋包,,
5,8838,南京,服饰鞋包,,
6,17116,苏州,服饰鞋包,,      
7,18391,深圳,服饰鞋包,,
8,29804,成都,服饰鞋包,,
9,23032,重庆,服饰鞋包,,
10,8928,天津,服饰鞋包,,
11,10522,宁波,服饰鞋包,,
12,3923,扬州,服饰鞋包,,
13,9145,无锡,服饰鞋包,,
14,8087,福州,服饰鞋包,,
15,5974,厦门,服饰鞋包,,
16,16144,武汉,服饰鞋包,,
17,12690,西安,服饰鞋包,,
18,7542,沈阳,服饰鞋包,,
19,6079,大连,服饰鞋包,,
20,0,其它城市,服饰鞋包,,
21,8425,青岛,服饰鞋包,,
22,7615,济南,服饰鞋包,,
23,1845,海口,服饰鞋包,,
24,8215,石家庄,服饰鞋包,,
25,4525,唐山,服饰鞋包,,
26,1479,秦皇岛,服饰鞋包,,
27,3872,邯郸,服饰鞋包,,
28,3796,邢台,服饰鞋包,,
29,6213,保定,服饰鞋包,,
30,1654,张家口,服饰鞋包,,
31,1178,承德,服饰鞋包,,
32,3764,沧州,服饰鞋包,,
33,2733,廊坊,服饰鞋包,,
34,1646,衡水,服饰鞋包,,
35,5948,太原,服饰鞋包,,
36,1159,大同,服饰鞋包,,
37,446,阳泉,服饰鞋包,,
38,1571,长治,服饰鞋包,,
39,902,晋城,服饰鞋包,,
40,754,朔州,服饰鞋包,,
41,1478,晋中,服饰鞋包,,
42,2274,运城,服饰鞋包,,
43,1027,忻州,服饰鞋包,,
44,2518,临汾,服饰鞋包,,
45,1264,吕梁,服饰鞋包,,
46,2496,呼和浩特,服饰鞋包,,
47,2024,包头,服饰鞋包,,
48,560,乌海,服饰鞋包,,
49,1703,赤峰,服饰鞋包,,
50,903,通辽,服饰鞋包,,
51,1963,鄂尔多斯,服饰鞋包,,
52,875,呼伦贝尔,服饰鞋包,,
53,487,兴安盟,服饰鞋包,,
54,900,锡林郭勒,服饰鞋包,,
55,1285,乌兰察布,服饰鞋包,,
56,1237,巴彦淖尔,服饰鞋包,,
57,215,阿拉善,服饰鞋包,,
58,1844,鞍山,服饰鞋包,,
59,836,抚顺,服饰鞋包,,
60,652,本溪,服饰鞋包,,
61,1283,丹东,服饰鞋包,,
62,1730,锦州,服饰鞋包,,
63,1485,营口,服饰鞋包,,
64,554,阜新,服饰鞋包,,
66,870,盘锦,服饰鞋包,,
67,1070,铁岭,服饰鞋包,,
68,650,朝阳,服饰鞋包,,
69,1173,葫芦岛,服饰鞋包,,
70,5442,长春,服饰鞋包,,
71,2154,吉林,服饰鞋包,,
72,967,四平,服饰鞋包,,
73,500,辽源,服饰鞋包,,
74,994,通化,服饰鞋包,,
75,451,白山,服饰鞋包,,
76,960,松原,服饰鞋包,,
77,907,白城,服饰鞋包,,
78,1063,延边,服饰鞋包,,
79,5609,哈尔滨,服饰鞋包,,
80,1396,齐齐哈尔,服饰鞋包,,
81,613,鸡西,服饰鞋包,,
82,454,鹤岗,服饰鞋包,,
83,482,双鸭山,服饰鞋包,,
84,1747,大庆,服饰鞋包,,
85,495,伊春,服饰鞋包,,
86,852,佳木斯,服饰鞋包,,
87,193,七台河,服饰鞋包,,
88,698,牡丹江,服饰鞋包,,
89,444,黑河,服饰鞋包,,
90,1041,绥化,服饰鞋包,,
91,187,大兴安岭,服饰鞋包,,
92,6336,徐州,服饰鞋包,,
93,6740,常州,服饰鞋包,,
94,7225,南通,服饰鞋包,,
95,3338,连云港,服饰鞋包,,
96,3770,淮安,服饰鞋包,,
97,5753,盐城,服饰鞋包,,
98,3450,镇江,服饰鞋包,,
99,3978,泰州,服饰鞋包,,
100,3248,宿迁,服饰鞋包,,
101,14242,温州,服饰鞋包,,
102,9221,嘉兴,服饰鞋包,,
103,4451,湖州,服饰鞋包,,
104,5855,绍兴,服饰鞋包,,
105,9815,金华,服饰鞋包,,
106,1386,衢州,服饰鞋包,,
107,909,舟山,服饰鞋包,,
108,8099,台州,服饰鞋包,,
109,2419,丽水,服饰鞋包,,
110,10252,合肥,服饰鞋包,,
111,2645,芜湖,服饰鞋包,,
112,1762,蚌埠,服饰鞋包,,
113,2020,淮南,服饰鞋包,,
114,1081,马鞍山,服饰鞋包,,
115,1301,淮北,服饰鞋包,,
116,821,铜陵,服饰鞋包,,
117,2424,安庆,服饰鞋包,,
118,895,黄山,服饰鞋包,,
119,2137,滁州,服饰鞋包,,
120,3470,阜阳,服饰鞋包,,
121,1981,宿州,服饰鞋包,,
122,518,巢湖,服饰鞋包,,
123,2418,六安,服饰鞋包,,
124,2307,亳州,服饰鞋包,,
125,757,池州,服饰鞋包,,
126,1826,宣城,服饰鞋包,,
127,3121,莆田,服饰鞋包,,
128,1269,三明,服饰鞋包,,
129,8537,泉州,服饰鞋包,,
130,3182,漳州,服饰鞋包,,
131,1942,南平,服饰鞋包,,
132,1448,龙岩,服饰鞋包,,
133,2203,宁德,服饰鞋包,,
134,4875,南昌,服饰鞋包,,
135,1006,景德镇,服饰鞋包,,
136,1242,萍乡,服饰鞋包,,
137,2610,九江,服饰鞋包,,
138,1053,新余,服饰鞋包,,
139,693,鹰潭,服饰鞋包,,
140,3790,赣州,服饰鞋包,,
141,1577,吉安,服饰鞋包,,
142,2772,宜春,服饰鞋包,,
143,1907,抚州,服饰鞋包,,
144,2916,上饶,服饰鞋包,,
145,4062,淄博,服饰鞋包,,
146,1851,枣庄,服饰鞋包,,
147,1706,东营,服饰鞋包,,
148,5541,烟台,服饰鞋包,,
149,6556,潍坊,服饰鞋包,,
150,4680,济宁,服饰鞋包,,
151,2387,泰安,服饰鞋包,,
152,2711,威海,服饰鞋包,,
153,1643,日照,服饰鞋包,,
154,428,莱芜,服饰鞋包,,
155,4779,临沂,服饰鞋包,,
156,2757,德州,服饰鞋包,,
157,3056,聊城,服饰鞋包,,
158,1929,滨州,服饰鞋包,,
159,3249,菏泽,服饰鞋包,,
160,15907,郑州,服饰鞋包,,
161,2510,开封,服饰鞋包,,
162,5007,洛阳,服饰鞋包,,
163,2915,平顶山,服饰鞋包,,
164,3060,安阳,服饰鞋包,,
165,1177,鹤壁,服饰鞋包,,
166,3700,新乡,服饰鞋包,,
167,2443,焦作,服饰鞋包,,
168,2189,濮阳,服饰鞋包,,
169,2141,许昌,服饰鞋包,,
170,1420,漯河,服饰鞋包,,
171,1385,三门峡,服饰鞋包,,
172,5195,南阳,服饰鞋包,,
173,4386,商丘,服饰鞋包,,
174,2974,信阳,服饰鞋包,,
175,3626,周口,服饰鞋包,,
176,3018,驻马店,服饰鞋包,,
177,1731,黄石,服饰鞋包,,
178,1792,十堰,服饰鞋包,,
179,2862,宜昌,服饰鞋包,,
180,3274,襄阳,服饰鞋包,,
181,680,鄂州,服饰鞋包,,
182,1684,荆门,服饰鞋包,,
183,3286,孝感,服饰鞋包,,
184,2856,荆州,服饰鞋包,,
185,2360,黄冈,服饰鞋包,,
186,1993,咸宁,服饰鞋包,,
187,922,随州,服饰鞋包,,
188,2009,恩施,服饰鞋包,,
189,559,仙桃,服饰鞋包,,
190,441,潜江,服饰鞋包,,
191,877,天门,服饰鞋包,,
192,2539,株洲,服饰鞋包,,
193,1640,湘潭,服饰鞋包,,
194,3658,衡阳,服饰鞋包,,
195,2777,邵阳,服饰鞋包,,
196,3262,岳阳,服饰鞋包,,
197,2784,常德,服饰鞋包,,
198,814,张家界,服饰鞋包,,
199,1864,益阳,服饰鞋包,,
200,2872,郴州,服饰鞋包,,
201,2037,永州,服饰鞋包,,
202,2092,怀化,服饰鞋包,,
203,2039,娄底,服饰鞋包,,
204,1062,湘西,服饰鞋包,,
205,1654,韶关,服饰鞋包,,
206,2211,珠海,服饰鞋包,,
207,3613,汕头,服饰鞋包,,
208,8507,佛山,服饰鞋包,,
209,2772,江门,服饰鞋包,,
210,2016,湛江,服饰鞋包,,
211,1768,茂名,服饰鞋包,,
212,1703,肇庆,服饰鞋包,,
213,5484,惠州,服饰鞋包,,
214,2354,梅州,服饰鞋包,,
215,1128,汕尾,服饰鞋包,,
216,1364,河源,服饰鞋包,,
217,1244,阳江,服饰鞋包,,
218,1870,清远,服饰鞋包,,
219,15129,东莞,服饰鞋包,,
220,4532,中山,服饰鞋包,,
221,1560,潮州,服饰鞋包,,
222,3549,揭阳,服饰鞋包,,
223,751,云浮,服饰鞋包,,
224,8018,南宁,服饰鞋包,,
